"# menu items";"nan"
"_SITE_TITLE";"Réseau social"
"(UTC-1) Azores, Cape Verde Is.";"(UTC-1) Açores, Cape Verde est."
"Europe/London";"Europe / Londre"
"Greenwich Mean Time (Lisbon, London)";"Greenwich Moyenne Temps (Lisbonne, Londres)"
"Europe/Berlin";"Europe / Berlin"
"(UTC+1) Amsterdam, Berlin, Paris, Rome, Madrid";"(UTC + 1) Amsterdam, Berlin, Paris, Rome, Madrid"
"Europe/Athens";"Europe / Athène"
"(UTC+2) Athens, Helsinki, Istanbul, Cairo, E. Europe";"(UTC + 2) Athènes, Helsinki, Istanbul, Caire, E. Europe"
"Europe/Moscow";"Europe / Moscou"
"(UTC+3) Baghdad, Kuwait, Nairobi, Moscow";"(UTC + 3) Bagdad, Koweït, Nairobi, Moscou"
"Iran";"L'Iran"
"(UTC+3:30) Tehran";"(UTC + 3: 30) Téhéran"
"Asia/Dubai";"Asie / Dubaï"
"(UTC+4) Abu Dhabi, Kazan, Muscat";"(UTC + 4) Abu Dhabi, Kazan, Muscat"
"Asia/Kabul";"Asie / Kaboul"
"(UTC+4:30) Kabul";"(UTC + 4: 30) Kaboul"
"Asia/Yekaterinburg";"Asie / Yekaterinburg"
"(UTC+5) Islamabad, Karachi, Tashkent";"(UTC + 5) Islamabad, Karachi, Tashkent"
"Asia/Dili";"Asie / Dili"
"(UTC+5:30) Bombay, Calcutta, New Delhi";"(UTC + 5: 30) Bombay, Calcutta, New Delhi"
"Asia/Katmandu";"Asie / Katmandu"
"(UTC+5:45) Nepal";"(UTC + 5: 45) Népal"
"Asia/Omsk";"Asie / OMSK"
"(UTC+6) Almaty, Dhaka";"(UTC + 6) Almaty, Dhaka"
"India/Cocos";"Inde / Coco"
"(UTC+6:30) Cocos Islands, Yangon";"(UTC + 6: 30) îles Cocos, Yangon"
"Asia/Krasnoyarsk";"Asie / Krasnoyarsk"
"(UTC+7) Bangkok, Jakarta, Hanoi";"(UTC + 7) Bangkok, Jakarta, Hanoi"
"Asia/Hong_Kong";"Asie / Hong_kong"
"(UTC+8) Beijing, Hong Kong, Singapore, Taipei";"(UTC + 8) Pékin, Hong Kong, Singapour, Taipei"
"Asia/Tokyo";"Asie / Tokyo"
"(UTC+9) Tokyo, Osaka, Sapporto, Seoul, Yakutsk";"(UTC + 9) Tokyo, Osaka, Sapporto, Séoul, Yakutsk"
"Australia/Adelaide";"Australie / Adélaïde"
"(UTC+9:30) Adelaide, Darwin";"(UTC + 9: 30) Adélaïde, Darwin"
"Australia/Sydney";"Australie / Sydney"
"(UTC+10) Brisbane, Melbourne, Sydney, Guam";"(UTC + 10) Brisbane, Melbourne, Sydney, Guam"
"Asia/Magadan";"Asie / Magadan"
"(UTC+11) Magadan, Soloman Is., New Caledonia";"(UTC + 11) Magadan, Soloman Is., Nouvelle-Calédonie"
"Pacific/Auckland";"Pacifique / Auckland"
"(UTC+12) Fiji, Kamchatka, Marshall Is., Wellington";"(UTC + 12) Fidji, Kamchatka, Marshall Is., Wellington"
"# widget: admin-statistics";"nan"
"Network Information";"Informations sur le réseau"
"License Key";"Clé de licence"
"Created";"Créé"
"Statistics";"Statistique"
"Today";"Aujourd'hui"
"Total";"Total"
"Page Views";"Pages vue"
"Sign-ins";"Signe"
"Private Messages";"Messages privé"
"Friendships";"Amitié"
"Comments";"Commentaire"
"# widget: banner";"nan"
"CORE_VIEWS_SCRIPTS_ADMINBANNERS_INDEX_DESCRIPTION";"Les bannières sont un excellent moyen de rendre votre page attrayante et informative. Cette page répertorie toutes les bannières existantes sur le site Web. Vous trouverez ci-dessous de nouvelles bannières et gérer celles existantes. Pour chaque bannière, vous pouvez choisir un titre, un sous-tête, un texte et une URL du lien CTA et de l'image d'arrière-plan."
"# misc";"nan"
"Yes";"Oui"
"No";"Non"
"Are you sure you want to delete these file(s)?";"Êtes-vous sûr de vouloir supprimer ces fichiers?"
"Delete!";"Supprimer!"
"Unable to delete";"Impossible de supprimer"
"File failed to upload. Check your server settings (such as php.ini max_upload_filesize).";"Le fichier n'a pas réussi à télécharger. Vérifiez les paramètres de votre serveur (tels que php.ini max_upload_filesize)."
"File already exists. Please delete before trying to upload.";"Le fichier existe déjà. Veuillez supprimer avant d'essayer de télécharger."
"Path is not writeable. Please CHMOD 0777 the public/admin directory.";"Le chemin n'est pas inscrit. S'il vous plaît Chmod 0777 Le répertoire public / administrateur."
"Unable to move file to upload directory.";"Impossible de déplacer le fichier pour télécharger le répertoire."
"Back to File Manager";"Retour au gestionnaire de fichier"
"No";"Non"
"Admin Settings";"Paramètres d'administration"
"# composer";"nan"
"Attach";"Attacher"
"Don't show an image";"Ne montrez pas une image"
"Choose Image:";"Choisissez l'image:"
"%d of %d";"%d de %d"
"Select File";"Sélectionner le fichier"
"Control Panel";"Panneau de contrôle"
"Profile Views: %s view";"Vues du profil: %s View";"Profile Views: %s views"
"Friends: %s friend";"Amis: %s ami";"Friends: %s friends"
"Last Update: %s";"Dernière mise à jour: %"
"Joined: %s";"Joint: %"
"Nothing has been posted here yet - be the first!";"Rien n'a encore été publié ici - soyez le premier!"
"Post Something...";"Publier quelque chose ..."
"Popular Members";"Membres populaire"
"View Recent Updates";"Afficher les mises à jour récente"
"View My Profile";"Afficher mon profil"
"Add Link";"Ajouter le lien"
"Don't show an image";"Ne montrez pas une image"
"Choose Image:";"Choisissez l'image:"
"What's New";"Quoi de neuf"
"Copyright &copy;%s";"Copyright & Copy; &copy;%s"
"Contact";"Contact"
"Add Friend";"Ajouter un ami"
"Networks:";"Réseaux:"
"Send To";"Envoyer à"
"settings";"paramètre"
"enable";"activer"
"Add New Plugin";"Ajouter un nouveau plugin"
"Find More Plugins";"Trouver plus de plugin"
"Version";"Version"
"Layout Editor";"Rédacteur en chef"
"CORE_LAYOUT_DESC";"Utilisez l'éditeur de mise en page pour décider quel contenu apparaît sur des pages spécifiques ou dans votre en-tête et votre pied de page à l'échelle de votre site. Cliquez et faites glisser les ""blocs"" colorés pour organiser le contenu souhaité sur chaque page. Faites glisser les blocs vers et depuis la zone ""Blocs disponibles"" pour les ajouter ou les supprimer de votre page. Utilisez ""HTML Blocks"" si vous souhaitez déposer un HTML brut ou un autre contenu."
"Editing:";"Édition:"
"Note: Some blocks won't appear if you're not signed-in or if they don't belong on this page.";"Remarque: Certains blocs n'apparaîtront pas si vous n'êtes pas connecté ou s'ils n'appartiennent pas sur cette page."
"CORE_VIEWS_SCRIPTS_ADMINPLUGINS_DESCRIPTION";"Les plugins peuvent étendre et améliorer de nombreux aspects de votre réseau social. Ils ajoutent souvent de nouvelles fonctionnalités pour les membres, ce qui rend votre communauté plus attrayante et interactive. Ils peuvent également vous donner plus de contrôle sur le fonctionnement de votre réseau social. Si vous avez récemment acheté un nouveau plugin, vous pouvez l'installer en cliquant sur le lien ""Ajouter un nouveau plugin"" ci-dessous."
"These settings affect your entire community and all your members.";"Ces paramètres affectent toute votre communauté et tous vos membres."
"Maintenance Mode";"Mode de maintenance"
"CORE_FORM_ADMIN_SETTINGS_GENERAL_DESCRIPTION";"Le mode de maintenance empêchera les visiteurs du site d'accéder à votre site Web.  Vous pouvez personnaliser la page du mode de maintenance en modifiant manuellement le fichier ""/application/maintenne.html""."
"CORE_FORM_ADMIN_SETTINGS_GENERAL_PASSWORD_RESET";"Entrez le nombre de jours jusqu'à ce que les utilisateurs soient tenus de réinitialiser leur mot de passe. Entrez 0 si vous ne souhaitez pas obliger les utilisateurs à changer leurs mots de passe."
"Online";"En ligne"
"Offline (Maintenance Mode)";"Hors ligne (mode de maintenance)"
"Site Title";"Titre du site"
"CORE_FORM_ADMIN_SETTINGS_GENERAL_SITETITLE_DESCRIPTION";"Donnez à votre communauté un nom unique. Cela apparaîtra dans la balise <title> sur la majeure partie de votre site."
"Site Description";"Description du site"
"CORE_FORM_ADMIN_SETTINGS_GENERAL_SITEDESCRIPTION_DESCRIPTION";"Entrez une brève description concise de votre communauté. Incluez les mots ou les phrases clés que vous souhaitez apparaître dans les listes de moteurs de recherche."
"Site Keywords";"Mots-clés du site"
"CORE_FORM_ADMIN_SETTINGS_GENERAL_SITEKEYWORDS_DESCRIPTION";"Fournissez des mots clés (séparés par des virgules) qui décrivent votre communauté. Ce sera les mots clés par défaut qui apparaissent dans la balise <Meta> de votre en-tête de page. Entrez les mots clés les plus pertinents auxquels vous pouvez penser pour aider les classements des moteurs de recherche de votre communauté."
"Site Script Header";"En-tête de script de site"
"CORE_FORM_ADMIN_SETTINGS_GENERAL_SITESCRIPT_DESCRIPTION";"Pour ajouter des extraits JavaScript à votre site, entrez le javascript ici. N'incluez pas les balises de script."
"Website Page Access";"Accès de la page du site Web"
"Yes, give the public access.";"Oui, donnez un accès au public."
"No, visitors must sign in to view the Landing Page, Member Profiles, Browse Members and Search page. ( Setting it to ''No'' will disallow visitors from viewing these pages and instead redirect them to Login page, but to restrict visitor access to individual modules such as Albums, Blogs, etc through main menu, you''ll need to adjust Member Level Settings of each module for public users.)";"Non, les visiteurs doivent se connecter pour afficher la page de destination, les profils des membres, les membres de navigation et la page de recherche. (Le définir sur `` non '' interdira les visiteurs de la visualisation de ces pages et les redirigera plutôt vers la page de connexion, mais pour restreindre l'accès des visiteurs à des modules individuels tels que des albums, des blogs, etc. via le menu principal, vous devrez ajuster les paramètres de niveau des membres de chaque module pour les utilisateurs publics.)"
"Storage Quota";"Quota de stockage"
"CORE_FORM_ADMIN_SETTINGS_GENERAL_QUOTA_DESCRIPTION";"Combien de contenu (photos, chansons, vidéos, etc.) Voulez-vous que chaque membre puisse télécharger? Cette limite ne s'applique qu'au contenu téléchargé, pas à des choses liées ou intégrées à partir d'autres sites Web."
"1 MB";"1 Mb"
"5 MB";"5 Mb"
"25 MB";"25 Mb"
"100 MB";"100 Mb"
"500 MB";"500 Mo"
"1 GB";"1 Go"
"2 GB";"2 Go"
"5 GB";"5 Go"
"10 GB";"10 Go"
"Unlimited";"Illimité"
"Default Timezone";"Fuseau horaire par défaut"
"CORE_FORM_ADMIN_SETTINGS_LOCALE_DESCRIPTION";"Veuillez sélectionner un paramètre de fuseau horaire par défaut pour votre réseau social. Ce sera le fuseau horaire par défaut appliqué aux comptes des utilisateurs s'ils ne sélectionnent pas de fuseau horaire pendant l'inscription, ou s'ils ne sont pas signés. Sélectionnez les paramètres par défaut que vous souhaitez utiliser sur votre réseau social. Cela affectera la langue des dates qui apparaissent sur vos pages de réseaux sociaux."
"Invite Only?";"Inviter uniquement?"
"Yes, make members complete the CAPTCHA form.";"Oui, faites en sorte que les membres remplissent le formulaire CAPTCHA."
"No, do not show a CAPTCHA form.";"Non, ne montrez pas de forme captcha."
"CORE_FORM_ADMIN_SETTINGS_SPAM_DESCRIPTION";"Les réseaux sociaux sont souvent la cible de tactiques de spam agressives. Cela se présente le plus souvent sous la forme de faux comptes d'utilisateurs et de spam dans les commentaires. Sur cette page, vous pouvez gérer diverses fonctionnalités anti-spam et censure. Remarque: Pour activer la fonction de vérification de l'image d'inscription (un outil anti-spam populaire), consultez la page de progression de l'inscription."
"No, do not show a CAPTCHA form to anyone.";"Non, ne montrez pas de forme captcha à personne."
"Yes, make everyone complete the CAPTCHA form.";"Oui, faites en sorte que tout le monde remplisse le formulaire CAPTCHA."
"Yes, make visitors complete CAPTCHA, but members are exempt.";"Oui, faites en sorte que les visiteurs complètent le captcha, mais les membres sont exemptés."
"Censored Words";"Mots censuré"
"CORE_FORM_ADMIN_SETTINGS_SPAM_CENSOR_DESCRIPTION";"Entrez tous les mots que vous souhaitez censurer sur les profils de vos utilisateurs ainsi que tous les plugins que vous avez installés. Ceux-ci seront remplacés par des astérisques (*) et affecteront seulement le nouveau contenu. Des mots séparés par des virgules comme Word1, Word2"
"CORE_ADMIN_FORM_SETTINGS_SPAM_COMMENTHTML_DESCRIPTION";"Par défaut, l'utilisateur peut entrer des balises HTML en commentaires. Si vous souhaitez autoriser des balises spécifiques, vous pouvez les entrer ci-dessous (séparées par des virgules). Exemple: b, img, a, intégration, police"
"CORE_ADMIN_FORM_SETTINGS_SPAM_LOCK_DESCRIPTION";"Bloquer le compte sur les tentatives de connexion infructueuse"
"CORE_ADMIN_FORM_SETTINGS_SPAM_LOCKAMTS_DESCRIPTION:""Enter the number of unsuccessful login attempts after which user accounts will be blocked for login.""";"nan"
"CORE_ADMIN_FORM_SETTINGS_SPAM_LOCKDURATION_DESCRIPTION";"Entrez la durée (en deuxième) pour laquelle le compte d'utilisateur sera bloqué lors des tentatives de connexion infructueuses. Après cette durée, les utilisateurs peuvent à nouveau essayer de se connecter dans leurs comptes."
"Require new users to enter validation code when signing up?";"Exiger que les nouveaux utilisateurs saisissent le code de validation lors de l'inscription?"
"Require users to enter validation code when commenting?";"Exiger que les utilisateurs saisissent le code de validation lors des commentaires?"
"Require users to enter validation code when inviting others?";"Exiger que les utilisateurs saisissent le code de validation lors de l'invitation des autres?"
"Require users to enter validation code when using the contact form?";"Exiger que les utilisateurs saisissent le code de validation lors de l'utilisation du formulaire de contact?"
"Require users to enter validation code when signing in?";"Exiger que les utilisateurs saisissent le code de validation lors de la connexion?"
"IP Address Ban";"Interdiction d'adresse IP"
"CORE_FORM_ADMIN_SETTINGS_SPAM_IPBANS_DESCRIPTION";"Pour interdire les utilisateurs par leur IP
Adresse, entrez leur adresse dans le champ ci-dessous. Les adresses doivent être
séparés par des virgules, comme 123.45.67.8, 23.45.67. *, 192.168.1.1-192.168.1.55.
Votre adresse IP est: %1$"
"Email Address Ban";"Interdiction d'adresse e-mail"
"CORE_FORM_ADMIN_SETTINGS_SPAM_EMAILBANS_DESCRIPTION";"Pour limiter les inscriptions par
Adresse e-mail, entrez les adresses dans le champ ci-dessous. Les adresses doivent être
Séparé par des virgules, comme email@domain.com, email2@domain.com. Vous pouvez utiliser un
astérisque (*) comme personnage générique."
"Profile Address Ban";"Interdiction d'adresse de profil"
"CORE_FORM_ADMIN_SETTINGS_SPAM_USERNAMEBANS_DESCRIPTION";"Pour limiter les inscriptions par adresse de profil, entrez les adresses dans le champ ci-dessous. Les adresses doivent être séparées par des virgules, comme Siteadmin, Postmaster. Vous pouvez utiliser un astérisque (*) comme caractère générique."
"Email Templates";"Modèles de messagerie"
"CORE_FORM_ADMIN_SETTINGS_EMAIL_DESCRIPTION";"Divers e-mails de notification sont envoyés à vos membres lorsqu'ils interagissent avec la communauté. Utilisez ce formulaire pour personnaliser le contenu de ces e-mails. Toutes les modifications que vous apportez ici ne seront enregistrées qu'après avoir cliqué sur le bouton ""Enregistrer les modifications"" en bas du formulaire."
"From Name";"De nom"
"Enter the name you want the emails from the system to come from in the field below.";"Entrez le nom dont vous souhaitez que les e-mails du système viennent dans le champ ci-dessous."
"From Address";"De l'adresse"
"Enter the email address you want the emails from the system to come from in the field below.";"Entrez l'adresse e-mail dont vous souhaitez que les e-mails du système viennent dans le domaine ci-dessous."
"Language Pack";"Pack de langue"
"Your community has more than one language pack installed. Please select the language pack you want to edit right now.";"Votre communauté a plus d'un pack de langues installé. Veuillez sélectionner le pack de langues que vous souhaitez modifier dès maintenant."
"Choose Message";"Choisir le message"
"Subject";"Sujet"
"Message Body";"Corps de message"
"English";"Anglai"
"Invite Code";"Inviter le code"
"Invitation";"Invitation"
"Email Address Verification";"Vérification de l'adresse e-mail"
"Email Address Verification With Password";"Vérification de l'adresse e-mail avec mot de passe"
"Welcome";"Accueillir"
"Welcome With Password";"Bienvenue avec le mot de passe"
"Also Commented";"Aussi commenté"
"Friend Approved";"Approuvé ami"
"Friend Request";"Demande d'ami"
"Friend Follow";"Ami suivant"
"Comment on Liked";"Commentaire sur aimé"
"Also Commented";"Aussi commenté"
"Follow Approved";"Suivez approuvé"
"Follow Request";"Suivre la demande"
"Follow Approved";"Suivez approuvé"
"Follow Request";"Suivre la demande"
"Theme Manager";"Directeur de thème"
"Clone a theme pack";"Cloner un pack de thème"
"Title of new theme";"Titre du nouveau thème"
"Theme Description";"Description du thème"
"Theme to clone";"Thème du clone"
"Clone";"Cloner"
"Upload a theme pack";"Télécharger un pack de thème"
"Theme title";"Titre de thème"
"What would you like to title this theme? (Leave blank to use the default theme title)";"Qu'aimeriez-vous pour titre ce thème? (Laissez vide pour utiliser le titre du thème par défaut)"
"Please describe the theme you are uploading.";"Veuillez décrire le thème que vous téléchargez."
"Theme file";"Fichier de thème"
"Select the theme file you wish to upload. Note: this must be a file packaged into a TAR file.";"Sélectionnez le fichier de thème que vous souhaitez télécharger. Remarque: il doit s'agir d'un fichier emballé dans un fichier TAR."
"Upload";"Télécharger"
"CORE_VIEWS_SCRIPTS_ADMINTHEMES_THEMES_DESCRIPTION";"Personnalisez l'apparence globale de votre communauté en modifiant votre thème actuel ou en choisissant un nouveau. Votre thème se compose de plusieurs fichiers CSS. Si vous souhaitez apporter des modifications personnalisées à ces fichiers, sélectionnez celui que vous souhaitez modifier dans le traction ci-dessous. Si vous préférez simplement choisir un thème entièrement différent, utilisez le sélecteur de thème en bas."
"If you leave the page now, your changes will be lost. Are you sure you want to continue?";"Si vous quittez la page maintenant, vos modifications seront perdues. Êtes-vous sûr de vouloir continuer?"
"Your changes have been saved!";"Vos modifications ont été enregistrées!"
"An error has occurred. Changes could NOT be saved.";"Une erreur s'est produite. Les changements n'ont pas pu être sauvés."
"CORE_VIEWS_SCRIPTS_ADMINTHEMES_THEMES_REVERTTHEMEFILE";"Êtes-vous sûr que vous souhaitez retourner toutes les modifications que vous avez apportées à ce thème? Si oui, le thème original sera restauré immédiatement et vos modifications perdues. Si vous souhaitez sauvegarder vos modifications, exportez-la d'abord vers votre ordinateur."
"Edit your current theme:";"Modifiez votre thème actuel:"
"CORE_VIEWS_SCRIPTS_ADMINTHEMES_THEMES_TIP";"Les feuilles de style de votre thème actuel ne sont pas écrivains. Veuillez définir des autorisations complètes récursivement (ChMOD -R 0777) sur ""%s"" et réessayer."
"Upload New Files";"Télécharger de nouveaux fichier"
"Create Menu Item";"Créer un élément de menu"
"Label";"Étiquette"
"URL";"URL"
"Open in a new window?";"Ouvert dans une nouvelle fenêtre?"
"Delete Menu Item";"Supprimer l'élément de menu"
"Edit Menu Item";"Édition de l'élément de menu"
"CORE_VIEWS_SCRIPTS_ADMINMENU_INDEX_DESCRIPTION";"Utilisez ce domaine pour gérer les différents menus de navigation qui apparaissent sur votre réseau social. Lorsque vous sélectionnez le menu que vous souhaitez modifier, une liste des éléments de menu qu'il contient sera affichée. Vous pouvez faire glisser ces éléments de haut en bas pour modifier leur commande."
"All";"Tou"
"Cumulative";"Cumulatif"
"Change in";"Changer"
"Page views";"Pages vue"
"This week";"Cette semaine"
"This month";"Ce mois-ci"
"This year";"Cette année"
"By Day";"De jour"
"By Week";"Par semaine"
"By Month";"Par moi"
"By Year";"Par année"
"nan";"nan"
"here";"ici"
"install plugin";"Installer le plugin"
"New plugins available for installation:";"Nouveaux plugins disponibles pour l'installation:"
"disable";"désactiver"
"Disable";"Désactiver"
"Putting your site in development mode will disable caching, and will display error messages to the end-user.";"Mettre votre site en mode développement désactivera la mise en cache et affichera les messages d'erreur à l'utilisateur final."
"Production Mode";"Mode de production"
"Development Mode";"Mode de développement"
"Environment Mode";"Mode environnement"
"Loading ...";"Chargement ..."
"CAPTCHA_DESCRIPTION";"Veuillez taper les caractères que vous voyez dans l'image."
"_CAPTCHA_DESCRIPTION";"Veuillez taper les caractères que vous voyez dans l'image."
"Email queue";"File d'attente par e-mail"
"Utilizing an email queue, you can allow your website to throttle the emails being sent out to prevent overloading the mail server.";"En utilisant une file d'attente par e-mail, vous pouvez autoriser votre site Web à gazéger les e-mails envoyés pour empêcher la surcharge du serveur de messagerie."
"Yes, enable email queue";"Oui, activez la file d'attente par e-mail"
"No, always send emails immediately";"Non, envoyez toujours des e-mails immédiatement"
"Use the built-in mail() function";"Utilisez la fonction Mail() fonction"
"Send emails through an SMTP server";"Envoyer des e-mails via un serveur SMTP"
"Thank you for contacting us!";"Merci de nous avoir contactés!"
"Please complete this field - it is required.";"Veuillez compléter ce champ - il est nécessaire."
"ITEM_TYPE_CORE_LINK";"Link"
"Everything";"Tout"
"Links";"Link"
"Emails Sent";"E-mails envoyé"
"Online Members";"Membres en ligne"
"Quick Stats";"Statistiques rapide"
"System Mode";"Mode système"
"Email All Members";"Envoyer un courriel à tous les membre"
"Packages & Plugins";"Packages et plugin"
"Mail Templates";"Modèles de courrier"
"Mail Settings";"Paramètres de messagerie"
"Admin Password";"Mot de passe administrateur"
"Normal";"Normale"

"CORE_FORM_ADMIN_MESSAGE_MAIL_DESCRIPTION";"En utilisant ce formulaire, vous pourrez envoyer un e-mail à tous vos membres. Les e-mails sont envoyés à l'aide d'un système de file d'attente, ils seront donc envoyés au fil du temps. Un e-mail vous sera envoyé lorsque tous les e-mails auront été envoyés."
"From:";"Depuis:"
"From (name):";"De (nom):"
"Subject:";"Sujet:"
"Hold down the CTRL key to select or de-select specific Member Levels.";"Maintenez la touche CTRL pour sélectionner ou désélectionner des niveaux de membres spécifiques."
"(HTML or Plain Text)";"(HTML ou texte brut)"
"Send Emails";"Envoyer des e-mail"
"No, visitors must sign in to view the browse members page.";"Non, les visiteurs doivent se connecter pour afficher la page des membres Browse."
"Notification Update Frequency";"Fréquence de mise à jour de la notification"
"Default Locale";"Par défaut par défaut"
Facebook App Secret";"Secret de l'application Facebook"
"This is a 36 character string of letters and numbers provided by Facebook when you create an Application in your account.";"Il s'agit d'une chaîne de lettres et de numéros de 36 caractères fournies par Facebook lorsque vous créez une application dans votre compte."
"Facebook App ID";"ID d'application Facebook"
"Integrate Features";"Intégrer les fonctionnalité"
"What features would you like to integrate?";"Quelles fonctionnalités aimeriez-vous intégrer?"
"nan";"nan"
"Signup/Login only";"Inscription / connexion uniquement"
"Publish to Facebook";"Publier sur Facebook"
"Email Queue";"File d'attente par e-mail"

"Send through SMTP";"Envoyer via SMTP"
"SMTP Server Address";"Adresse du serveur SMTP"
"SMTP Server Port";"Port de serveur SMTP"
"SMTP Authentication?";"Authentification SMTP?"
"Use SSL or TLS?";"Utiliser SSL ou TLS?"
"Default: 25. Also commonly on port 465 (SMTP over SSL) or port 587.";"Par défaut: 25. Également couramment sur le port 465 (SMTP sur SSL) ou le port 587."
"Does your SMTP Server require authentication?";"Votre serveur SMTP nécessite-t-il une authentification?"
"Use Cache?";"Utiliser du cache?"
"Yes, enable caching.";"Oui, activez la mise en cache."
"No, do not enable caching.";"Non, n'activez pas la mise en cache."
"Memcached Host";"Hôte memcached"
"Cache Lifetime";"Vie de cache"
"Caching Feature";"Fonction de mise en cache"
"File-based";"Basé sur les fichier"
"Memcached";"Memcache"
"Can be a domain name, hostname, or an IP address (recommended)";"Peut être un nom de domaine, un nom d'hôte ou une adresse IP (recommandée)"
"Memcached Port";"Port Memcached"
"Memcached compression?";"Compression Memcached?"
"Flush cache?";"Cache rincer?"
"File-based Cache Directory";"Répertoire de cache basé sur des fichier"
"File locking?";"Verrouillage des fichiers?"
"Note: your site is currently not in production mode, so caching will be disabled regardless of these settings.";"Remarque: Votre site n'est actuellement pas en mode de production, donc la mise en cache sera désactivée quels que soient ces paramètres."
"CORE_FORM_ADMIN_SETTINGS_PERFORMANCE_LIFETIME_DESCRIPTION";"Cela détermine combien de temps
Le système conservera des données en cache avant de les recharger à partir du serveur de base de données. UN
La durée de vie plus courte du cache provoque une plus grande utilisation du processeur du serveur de base de données, mais les données
sera plus courant. Nous vous recommandons de commencer avec 60-120 secondes."
"CORE_FORM_ADMIN_SETTINGS_PERFORMANCE_TYPE_DESCRIPTION";"Si vous avez activé la mise en cache ci-dessus, veuillez sélectionner le type de mise en cache que vous souhaitez utiliser. Les caches basées sur la mémoire (Memcached) peuvent offrir de meilleures performances, mais doivent être activées en PHP et nécessitent parfois une configuration supplémentaire."
"CORE_FORM_ADMIN_SETTINGS_PERFORMANCE_FILE_PATH_DESCRIPTION";"C'est là que le
Les fichiers temporaires contenant les données mis en cache sont stockés. Le dossier doit être écrivable
(Chmod 777). Cela devrait être un chemin par rapport au répertoire de base où
SocialEngine est installé."
"CORE_FORM_ADMIN_SETTINGS_PERFORMANCE_ENABLE_DESCRIPTION";"Activer la mise en cache? Habilitant
La mise en cache diminuera le processeur
Utilisation de votre serveur de base de données (entraînant une diminution de la charge de page
fois). Bien que certaines données non critiques puissent apparaître légèrement obsolètes,
Cela ne sera généralement pas perceptible aux utilisateurs. Par exemple, une partie de la
Les statistiques générales du site sur votre page d'accueil peuvent prendre plus de temps à mettre à jour.
Ce ne sera pas perceptible si votre réseau social est déjà grand et
peuplé avec beaucoup de donnée"
"Admin Reauthentication";"Admin Reauthentification"
"Controls settings about access to the admin panel.";"Paramètres de contrôle sur l'accès au panneau d'administration."
"Do not require reauthentication.";"Ne nécessite pas de réauthentification."
"Require admins to re-enter their password when they try to access the admin panel.";"Exiger des administrateurs pour réintégrer leur mot de passe lorsqu'ils essaient d'accéder au panneau d'administration."
"Require admins to enter a global password when they try to access the admin panel.";"Exiger des administrateurs pour entrer un mot de passe global lorsqu'ils essaient d'accéder au panneau d'administration."
"The password for ""Require admins to enter a global password when they try to access the admin panel."" above (otherwise ignore).";"Le mot de passe pour ""Exiger que les administrateurs saisissent un mot de passe global lorsqu'ils essaient d'accéder au panneau d'administration"". ci-dessus (autrement ignorer)."
"Confirm password";"Confirmez le mot de passe"
"Timeout";"Temps mort"
"How long (in seconds) before admins have to reauthenticate?";"Combien de temps (en quelques secondes) avant que les administrateurs ne devaient réauthentifier?"
"Page Block Placement";"Placement de blocs de page"
"Global Header";"En-tête mondial"
"Global Footer";"Pied de page mondial"
"Delete Page";"Supprimer la page"
"Tabbed Blocks";"Blocs d'onglet"
"HTML Block";"Bloc HTML"
"Activity Feed";"Flux d'activité"
"Ad Campaign";"Campagne publicitaire"
"Content";"Contenu"
"Footer Menu";"Menu de pied de page"
"Generic Menu";"Menu générique"
"Main Menu";"Menu principal"
"Mini Menu";"Mini-menu"
"Profile Links";"Liens de profil"
"Requests";"Demande"
"Site Logo";"Logo du site"
"Tab Container";"Récipient d'onglet"
"Core";"Cœur"
"Logo";"Logo"
"Available Themes";"Thèmes disponible"
"Active Theme";"Thème actif"
"Editing File:";"Fichier d'édition:"
"this is your current theme";"Ceci est votre thème actuel"
"Export";"Exporter"
"Upload New Theme";"Télécharger un nouveau thème"
"Activate Theme";"Activer le thème"
"by %s";"par %s"
"You may want to quickly upload images, icons, or other media for use in your layout, announcements, blog entries, etc. You can upload and manage these files here. Move your mouse over a filename to preview an image.";"Vous souhaiterez peut-être télécharger rapidement des images, des icônes ou d'autres supports à utiliser dans votre mise en page, vos annonces, vos entrées de blog, etc. Vous pouvez télécharger et gérer ces fichiers ici. Déplacez votre souris sur un nom de fichier pour prévisualiser une image."
"download";"télécharger"
"copy URL";"URL de copie"

"Showing %s-%s of %s file.";"Affichage de %s-%s  du fichier %s.";"Showing %s-%s of %s files."
"make default";"faire défaut"
"Create a new language pack";"Créer un nouveau pack de langue"
"Which language do you want to create a language pack for?";"Pour quelle langue souhaitez-vous créer un pack de langues?"
"variable";"variable"
"Add Item";"Ajouter"
"Main Navigation Menu";"Menu de navigation principale"
"Mini Navigation Menu";"Mini menu de navigation"
"Footer Menu";"Menu de pied de page"
"Sitemap";"Sitemap"
"%s at %s";"%s à %s"
"Your community is currently in %s mode.";"Votre communauté est actuellement en mode %s."
"Most error messages are shown and caching is disabled. Changes to your CSS, theme, or view scripts will appear immediately, but your system may run more slowly. Only use this mode when making changes or troubleshooting.";"La plupart des messages d'erreur sont affichés et la mise en cache est désactivée. Les modifications de vos scripts CSS, thème ou vision seront apparaître immédiatement, mais votre système peut fonctionner plus lentement. Utilisez ce mode uniquement lors des modifications ou du dépannage."
"# tasks";"nan"
"Task Scheduler";"Planificateur de tâche"
